wpid,userid,time,death,newcomer_registyear,today,lastedit_tillend,last_censored,last_edit,event_newcomers,event,first_edit_type,first_edit_type3,first_eventedit_article,first_eventedit_date,registration,article_edits,article_sizediff,unique_articles
Okymyo,22166916,505,1,2014,12/29/15,653,10/12/17,12/29/15,1,Ebola,3,3,Ebola virus,8/12/14,8/11/14,8.0,-82.375,3.0
Omelly97,21969174,0,1,2014,7/31/14,1169,10/12/17,7/31/14,1,Ebola,1,1,West African Ebola virus epidemic,7/31/14,7/31/14,2.0,28.5,1.0
Omodeletobi,21915112,0,1,2014,7/25/14,1175,10/12/17,7/25/14,1,Ebola,1,1,Ebola virus disease,7/25/14,7/25/14,1.0,0.0,1.0
Ooopps,22117632,0,1,2014,8/8/14,1161,10/12/17,8/8/14,1,Ebola,1,1,West African Ebola virus epidemic,8/8/14,8/8/14,1.0,6.0,1.0
Pizzaguy232roundhouse,23272223,0,1,2014,11/23/14,1054,10/12/17,11/23/14,1,Ebola,1,1,Ebola virus disease,11/23/14,11/23/14,2.0,-1.0,1.0
Pookiebabie,23331249,0,1,2014,11/29/14,1048,10/12/17,11/29/14,0,Ebola,2,2,West African Ebola virus epidemic,11/29/14,11/29/14,2.0,-3.5,2.0
Princessbananahammock,22097365,0,1,2014,8/7/14,1162,10/12/17,8/7/14,1,Ebola,1,1,Ebola virus,8/7/14,8/7/14,1.0,34.0,1.0
Prisoner326,22716753,62,1,2014,12/2/14,1045,10/12/17,12/2/14,1,Ebola,1,1,West African Ebola virus epidemic,10/1/14,10/1/14,12.0,-8.583333333333334,10.0
ProfessorLuka,24252134,4,1,2015,3/2/15,955,10/12/17,3/2/15,0,Ebola,2,2,Ebola virus cases in the United States,3/2/15,2/26/15,10.0,7.8,4.0
Proficuous,22988073,1,1,2014,10/28/14,1080,10/12/17,10/28/14,1,Ebola,1,1,West African Ebola virus epidemic,10/27/14,10/27/14,9.0,25.333333333333332,2.0
PuffinSoc,22572488,120,1,2014,1/15/15,1001,10/12/17,1/15/15,0,Ebola,4,3,West African Ebola virus epidemic,9/25/14,9/17/14,901.0,291.12652608213097,571.0
Puppy9000,22747637,958,1,2014,5/20/17,145,10/12/17,5/20/17,0,Ebola,2,2,List of Ebola outbreaks,10/6/14,10/5/14,87.0,38.298850574712645,48.0
Pwfen,23673468,931,1,2015,7/22/17,82,10/12/17,7/22/17,1,Ebola,1,1,West African Ebola virus epidemic timeline,1/3/15,1/3/15,3.0,325.3333333333333,2.0
RealPyro,21981816,0,1,2014,7/31/14,1169,10/12/17,7/31/14,1,Ebola,1,1,Ebola virus disease,7/31/14,7/31/14,1.0,21.0,1.0
RegistryKey,22632709,1105,0,2014,10/2/17,10,10/12/17,10/2/17,0,Ebola,2,2,West African Ebola virus epidemic,9/30/14,9/23/14,190.0,735.3947368421053,161.0
Rich4527,22741668,0,1,2014,10/4/14,1104,10/12/17,10/4/14,1,Ebola,1,1,West African Ebola virus epidemic,10/4/14,10/4/14,1.0,93.0,1.0
Ricola.joe,22981203,0,1,2014,10/27/14,1081,10/12/17,10/27/14,1,Ebola,1,1,Ebola virus cases in the United States,10/27/14,10/27/14,3.0,33.0,1.0
Rochoa2,22926347,0,1,2014,10/22/14,1086,10/12/17,10/22/14,1,Ebola,1,1,West African Ebola virus epidemic,10/22/14,10/22/14,3.0,109.0,1.0
Sam3026885,23721311,0,1,2015,1/8/15,1008,10/12/17,1/8/15,1,Ebola,1,1,Ebola virus,1/8/15,1/8/15,4.0,824.75,1.0
Sarahkooper,23520820,0,1,2014,12/18/14,1029,10/12/17,12/18/14,1,Ebola,1,1,West African Ebola virus epidemic,12/18/14,12/18/14,2.0,527.0,1.0
