label,wpid,first_edit,from_event,transitivity,betweenness,betweenness_norm,closeness,closeness_norm,degree,degree_norm,Indegree,Indegree_norm,Outdegree,Outdegree_norm,weighted_degree,weighted_Indegree,weighted_Outdegree,eigen,event
Mtchief,Mtchief,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola
Murilo12,Murilo12,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola
Nauzemophonic,Nauzemophonic,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola
NekoKatsun,NekoKatsun,3,1,0,504,0.000127334,3.37E-07,0.000671516,6,0.003015075,1,0.000502513,5,0.002512563,6,1,5,3.69E-05,BLM
Nelson Joel,Nelson Joel,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola
NetworkOP,NetworkOP,3,1,0,6549,0.001654578,3.47E-07,0.000690154,55,0.027638191,13,0.006532663,42,0.021105528,94,37,57,0.006729013,ebola
NextGenSam619,NextGenSam619,2,1,0,0,0,2.52E-07,0.00050226,3,0.001507538,3,0.001507538,0,0,3,3,0,3.04E-05,FIFA
Nikzilla,Nikzilla,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,2,2,0,0,ebola
Nqemgray,Nqemgray,2,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,1.05E-05,FIFA
O.Stolz,O.Stolz,2,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,BLM
Oakhilljoseph,Oakhilljoseph,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola
Ogmios78,Ogmios78,1,1,0,0,0,2.52E-07,0.00050226,2,0.001005025,2,0.001005025,0,0,3,3,0,0,BLM
Ogramzes,Ogramzes,2,1,NA,0,0,2.53E-07,0.000502513,1,0.000502513,0,0,1,0.000502513,1,0,1,0,FIFA
Oiyarbepsy,Oiyarbepsy,2,1,0,0,0,2.81E-07,0.000558933,152,0.07638191,0,0,152,0.07638191,195,0,195,3.90E-05,FIFA
Okymyo,Okymyo,3,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola
OliviaEMcCheyne,OliviaEMcCheyne,2,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,BLM
Olympiads are best,Olympiads are best,2,1,0,0,0,2.53E-07,0.000503271,2,0.001005025,1,0.000502513,1,0.000502513,4,3,1,0,FIFA
OrganicEarth,OrganicEarth,2,1,0,144,3.64E-05,2.53E-07,0.00050403,28,0.014070352,21,0.010552764,7,0.003517588,70,47,23,0.00318418,BLM
Oskar Kopaczewski,Oskar Kopaczewski,2,1,0,6,1.52E-06,2.53E-07,0.000502765,5,0.002512563,4,0.00201005,1,0.000502513,7,5,2,0,FIFA
PewdsBro12,PewdsBro12,2,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,BLM
Pizzaguy232roundhouse,Pizzaguy232roundhouse,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,3,3,0,0,ebola
Polugap,Polugap,3,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,FIFA
Pookiebabie,Pookiebabie,2,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola
Poseidon Nep,Poseidon Nep,1,1,0,0,0,2.52E-07,0.00050226,2,0.001005025,2,0.001005025,0,0,3,3,0,0,FIFA
Princessbananahammock,Princessbananahammock,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola
Prinsgezinde,Prinsgezinde,3,1,0,33,8.34E-06,2.53E-07,0.000502513,10,0.005025126,9,0.004522613,1,0.000502513,21,20,1,3.99E-06,BLM
ProfessorLuka,ProfessorLuka,2,1,0,0,0,2.52E-07,0.00050226,2,0.001005025,2,0.001005025,0,0,2,2,0,1.84E-06,ebola
Proficuous,Proficuous,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola
PuffinSoc,PuffinSoc,3,1,0,0,0,2.52E-07,0.00050226,2,0.001005025,2,0.001005025,0,0,3,3,0,0,ebola
Puppy9000,Puppy9000,2,1,0,0,0,2.52E-07,0.00050226,2,0.001005025,2,0.001005025,0,0,2,2,0,0.000195261,ebola
Pwfen,Pwfen,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola
QuartzReload,QuartzReload,2,1,0,7367,0.001861242,2.62E-07,0.000521103,76,0.038190955,6,0.003015075,70,0.035175879,107,30,77,0.001362764,FIFA
Qzd,Qzd,2,1,0,1010,0.000255172,2.65E-07,0.000526592,103,0.051758794,11,0.005527638,92,0.046231156,110,12,98,0,BLM
Rachelwalexander,Rachelwalexander,3,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,3,3,0,0,ebola
Randomlettersinaspace,Randomlettersinaspace,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,BLM
RatRat,RatRat,2,1,0,7,1.77E-06,2.53E-07,0.000502513,7,0.003517588,6,0.003015075,1,0.000502513,8,7,1,0,BLM
RazorThunder,RazorThunder,2,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,FIFA
RealPyro,RealPyro,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola
Realtruth4all,Realtruth4all,1,1,0,0,0,2.53E-07,0.000502513,2,0.001005025,1,0.000502513,1,0.000502513,2,1,1,0,BLM
RegistryKey,RegistryKey,2,1,0,3626,0.000916094,3.61E-07,0.000719269,100,0.050251256,6,0.003015075,94,0.047236181,124,8,116,6.25E-06,BLM
Rich4527,Rich4527,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola
Rick13ellms,Rick13ellms,2,1,0,0,0,2.52E-07,0.00050226,2,0.001005025,2,0.001005025,0,0,4,4,0,0,FIFA
