wpid,userid,ave_good_3ms,revert_count_3ms,time,death,newcomer_registyear,today,lastedit_tillend,last_censored,last_edit,event_newcomers,first_edit_type,first_edit_type3,first_eventedit_article,first_eventedit_date,registration,article_edits,article_sizediff,unique_articles,first_edit,betweenness,betweenness_norm,closeness_norm,degree,degree_norm,Indegree,Indegree_norm,Outdegree,Outdegree_norm,weighted_degree,weighted_Indegree,weighted_Outdegree,eigen,event,revert_count,revert_ratio,ave_true,before_ave_sizediff,before_article_sizediff,before_unique_articles,before_article_count,before_edit_count,before_talk_count,before_user_count,before_usertalk_count
Assasin chan666,22822332,0,0,0,1,2014,10/12/14,1096,10/12/17,10/12/14,1,1,1,West African Ebola virus epidemic,10/12/14,10/12/14,1,55,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,5.17E-05,ebola,0,0,0.441661894,54.99450055,54.99450055,1,1,1,0,0,0
Aurelienreys,21306816,0,0,0,1,2014,5/1/14,1262,10/14/17,5/1/14,0,2,2,2013 protests in Brazil,5/1/14,5/1/14,12,119.6666667,8,2,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,5,0.416666667,0.6497361,119.6656695,119.6656695,8,12,12,0,0,0
AutonomousOrangePages,23378365,0,0,1,1,2014,12/4/14,1050,10/19/17,12/4/14,1,1,1,Shooting of Tamir Rice,12/4/14,12/3/14,1,0,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,1,1,0.552904328,0,0,1,1,1,0,0,0
AuxZane,22488679,0.579642928,1,421,1,2014,11/5/15,707,10/12/17,11/5/15,0,2,2,West African Ebola virus epidemic,10/15/14,9/10/14,18,3.277777778,11,2,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,3,0.166666667,0.517591738,4.538426627,4.538426627,9,13,13,0,0,0
BadDJ,25823689,0,0,5,1,2015,7/27/15,815,10/19/17,7/27/15,0,2,2,Death of Sandra Bland,7/27/15,7/22/15,16,48.625,3,2,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,0,0,0.323704272,48.6246961,48.6246961,3,16,16,0,0,0
Bal Mungram,21767315,0.855599082,0,1156,1,2014,9/4/17,40,10/14/17,9/4/17,1,1,1,2014 FIFA World Cup Brazil (video game),7/6/14,7/6/14,3,122.6666667,2,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,0,0,0.560051157,184.9907505,184.9907505,1,2,2,0,0,0
Bander.Quraishi,22332479,0,0,15,1,2014,9/10/14,1135,10/19/17,9/10/14,1,1,1,Shooting of Michael Brown,9/10/14,8/26/14,1,5,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,0,0,0.638535596,4.99950005,4.99950005,1,1,1,0,0,0
Barnaby.rostant,21714764,0,0,0,1,2014,6/28/14,1204,10/14/17,6/28/14,1,1,1,2014 FIFA World Cup Group D,6/28/14,6/28/14,1,-108,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,fifa,1,1,0.72881759,-107.9892011,-107.9892011,1,1,1,0,0,0
Basefut,21738163,0,0,0,1,2014,7/1/14,1201,10/14/17,7/1/14,0,2,2,2014 FIFA World Cup knockout stage,7/1/14,7/1/14,6,21.5,6,2,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,0,0,0.556586814,21.49964167,21.49964167,6,6,6,0,0,0
BatHunter,22065417,0.780172959,0,140,1,2014,12/23/14,1031,10/19/17,12/23/14,1,1,1,Shooting of Renisha McBride,8/5/14,8/5/14,8,176.75,3,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,0,0,0.63779076,264.1390837,253.9957667,1,6,7,1,0,0
Bbetev2,21783006,0,0,10,1,2014,7/18/14,1184,10/14/17,7/18/14,0,2,2,Brazil v Germany (2014 FIFA World Cup),7/10/14,7/8/14,10,18.8,5,2,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,fifa,2,0.2,0.628020857,18.799812,18.799812,5,10,10,0,0,0
Benjaminherberger,21635583,0,0,193,1,2014,12/27/14,1022,10/14/17,12/27/14,1,1,1,List of 2014 FIFA World Cup controversies,6/17/14,6/17/14,3,670.6666667,2,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,0,0,0.661828196,670.6443119,670.6443119,2,3,3,0,0,0
Bhavinderrao9,21896149,0,0,12,1,2014,8/4/14,1165,10/12/17,8/4/14,1,1,1,Ebola virus disease,8/4/14,7/23/14,1,159,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,0,0,0.655918557,158.9841016,158.9841016,1,1,1,0,0,0
Big12isu,23369095,0,0,0,1,2014,12/3/14,1051,10/19/17,12/3/14,1,1,1,Ferguson unrest,12/3/14,12/3/14,1,91,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,blm,1,1,0.217447368,90.99090091,90.99090091,1,1,1,0,0,0
BigFaCL,21314864,0,0,0,1,2014,5/2/14,1261,10/14/17,5/2/14,1,1,1,We Are One (Ole Ola),5/2/14,5/2/14,1,44,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,0,0,0.616867863,43.99560044,43.99560044,1,1,1,0,0,0
Bluemousered,23334109,0,0,967,1,2014,7/23/17,88,10/19/17,7/23/17,1,1,1,Shooting of Michael Brown,11/29/14,11/29/14,1,13,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,0,0,0.597886027,12.99870013,12.99870013,1,1,1,0,0,0
Blzjms,23377306,0,0,0,1,2014,12/3/14,1051,10/19/17,12/3/14,1,1,1,Death of Eric Garner,12/3/14,12/3/14,1,-82,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,0,0,0.463484888,-81.99180082,-81.99180082,1,1,1,0,0,0
Bmf 051,21404818,0.848442136,14,1248,0,2014,10/14/17,0,10/14/17,10/14/17,0,4,3,2015 FIFA Women's World Cup,6/5/14,5/15/14,504,54.8531746,167,3,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,15,0.03006012,0.842259552,112.8675641,60.23397847,30,94,136,0,41,0
