wpid,userid,user_type,event,edit_count,revert_count,revert_ratio,ave_true,final_check
Mattswag5603,24427364,1,ebola,1,0,0,0.444044222,0
Mejesik,23054210,2,ebola,4,3,1,0.322082482,0
Mexanoh,21772591,1,fifa,1,1,1,0.65110294,0
Michael hunter,22655301,2,ebola,18,14,0.777777778,0.555100422,0
Mico Antonio1234,24513045,2,blm,12,6,0.5,0.687754549,1
Mikestrike,21605546,1,fifa,2,1,0.5,0.881301041,0
MissKatie89,21641081,3,ebola,7,3,0.428571429,0.755947773,0
Mixo45,21336330,2,fifa,30,3,0.1,0.767677801,0
Mj3322,22828071,1,ebola,4,2,0.5,0.59701513,0
Mjay54,23323345,1,blm,2,1,0.5,0.400994398,0
Mohammad961,21605647,1,fifa,9,0,0,0.853581957,0
Mov283br3,26889133,1,blm,3,0,0,0.697146392,0
Mpena12,23388826,2,blm,6,0,0,0.85479256,0
MrAtifAyub,23186517,1,ebola,2,2,1,0.468119113,0
MrHassanSan,22935515,1,ebola,3,0,0,0.729546702,0
MrMohammed305,21901010,3,fifa,18,2,0.111111111,0.755992036,0
Mrs.Maddys,23400956,1,ebola,1,1,1,0.211092514,0
Mtchief,21580764,1,ebola,3,1,0.333333333,0.430390837,0
Mucky Poo,22325480,1,ebola,4,0,0,0.560829092,0
Mulderttt,21637755,1,fifa,1,1,1,0.875027999,0
Mundogamesvicioam,21191932,1,fifa,1,1,1,0.651501832,0
Murilo12,22055388,1,ebola,2,1,0.5,0.381513068,0
MusaSaleemPK,21607835,1,fifa,1,0,0,0.978084868,0
MyEditIsValid,23379465,1,blm,2,1,0.5,0.448173139,0
Nammage,24947538,2,blm,50,1,0.02,0.705829919,0
Nauzemophonic,22709814,1,ebola,1,1,1,0.079383283,0
Necent,26783598,1,blm,1,1,1,0.110601513,0
NekoKatsun,23242057,3,blm,152,7,0.046357616,0.758134693,0
Nelson Joel,23088697,1,ebola,2,0,0,0.49023606,0
NetworkOP,23595433,3,ebola,126,8,0.063492063,0.83022769,0
NextGenSam619,21733618,2,fifa,139,18,0.129496403,0.934377853,0
Nikzilla,22439607,1,ebola,1,1,1,0.212745197,0
Niw1984,23653569,1,blm,1,0,0,0.414635348,0
Nqemgray,21414483,2,fifa,14,5,0.357142857,0.702476824,0
O.Stolz,26750562,2,blm,14,1,0.071428571,0.890223334,0
Oakhilljoseph,23010121,1,ebola,3,1,0.333333333,0.636054712,0
Ogmios78,24962314,1,blm,2,2,1,0.517018646,0
Ogramzes,21774013,2,fifa,2,1,0.5,0.187798413,0
Oiyarbepsy,21840846,2,fifa,2568,72,0.028114018,0.97386288,0
Okymyo,22166916,3,ebola,8,1,0.125,0.371878707,0
OliviaEMcCheyne,26710930,2,blm,4,0,0,0.812903353,0
OliwierEOB,21660035,1,fifa,1,1,1,0.840686411,0
Olympiads are best,21846768,2,fifa,6,5,0.833333333,0.327966211,0
Omelly97,21969174,1,ebola,2,0,0,0.14324675,0
Omodeletobi,21915112,1,ebola,1,0,0,0.385423119,0
Omuhnate,21723336,1,fifa,2,0,0,0.562481159,0
Ooebbbbyyy,21606496,1,fifa,1,0,0,0.937889868,0
Ooopps,22117632,1,ebola,1,0,0,0.297320846,0
OrganicEarth,25844825,2,blm,4246,57,0.01344974,0.7386339,0
Oskar Kopaczewski,21378766,2,fifa,50,24,0.48,0.66154471,0
P4TG30RG13V,21625824,1,fifa,7,1,0.142857143,0.83940125,0
Pencilthebee,26832848,2,blm,2,1,0.5,0.600078319,0
PewdsBro12,25838030,2,blm,56,16,0.285714286,0.559888904,0
Phoenix9630,21788124,1,fifa,13,0,0,0.775859114,0
Pizzaguy232roundhouse,23272223,1,ebola,2,0,0,0.493772611,0
Poiuytrewqvtaatv123321,21847831,2,ebola,46,6,0.130434783,0.829822581,1
Politrukki,24723863,2,blm,5,0,0,0.699502623,1
Polugap,21704913,3,fifa,42,11,0.261904762,0.782670427,0
Pookiebabie,23331249,2,ebola,2,2,1,0.220459425,0
Poseidon Nep,21727454,1,fifa,219,19,0.086757991,0.768468683,0
Pprika,21787522,1,fifa,1,1,1,0.738726474,0
Princessbananahammock,22097365,1,ebola,1,1,1,0.077573652,0
Prinsgezinde,24340726,3,blm,1114,194,0.174617462,0.749028564,0
Prisoner326,22716753,1,ebola,12,1,0.083333333,0.556335655,0
ProfessorLuka,24252134,2,ebola,10,8,0.8,0.584907949,0
Proficuous,22988073,1,ebola,9,1,0.111111111,0.726913202,0
Profoundblkwmn,24797594,1,blm,1,0,0,0.268597942,0
PuffinSoc,22572488,3,ebola,901,12,0.013468013,0.856165002,0
Puppy9000,22747637,2,ebola,87,38,0.463414634,0.739245656,0
Pwfen,23673468,1,ebola,3,0,0,0.619110798,0
QuartzReload,21639897,2,fifa,249,26,0.10483871,0.930536617,0
Qzd,26906394,2,blm,4927,233,0.04729044,0.949554531,0
Rachelwalexander,21664415,3,ebola,22,0,0,0.666428759,0
Rajeshavaghela,21603545,1,fifa,1,0,0,0.98599516,0
Randomlettersinaspace,25800230,1,blm,1,1,1,0.129007439,0
RapdosS,21607695,1,fifa,2,1,0.5,0.892516532,0
RatRat,24512952,2,blm,289,19,0.065743945,0.75973214,0
Ratatosca,21381695,2,blm,28,2,0.071428571,0.678376621,1
RazorThunder,21902977,2,fifa,24,4,0.166666667,0.668985849,0
RealPyro,21981816,1,ebola,1,1,1,0.070382385,0
Realtruth4all,26835139,1,blm,4,4,1,0.209979051,0
RegistryKey,22632709,2,ebola,189,26,0.137566138,0.963633882,0
Reyalfre,20668798,1,fifa,1,0,0,0.971670483,0
Rich4527,22741668,1,ebola,1,1,1,0.292553913,0
Rick13ellms,21816963,2,fifa,15,10,0.714285714,0.332344407,0
Ricola.joe,22981203,1,ebola,3,3,1,0.354874703,0
Rjlnjd,24380114,1,blm,1,0,0,0.259463808,0
Rjryan94,21897518,1,blm,1,0,0,0.46093618,0
Rlincoln1986,23370248,1,blm,2,0,0,0.292333173,0
Rochoa2,22926347,1,ebola,3,0,0,0.516814659,0
