wpid,userid,register,death,first_edit_type3,before_time_span,before_ave_sizediff,before_article_sizediff,before_unique_articles,before_article_count,before_edit_count,before_talk_count,before_user_count,before_usertalk_count,after_time_span,after_ave_sizediff,after_article_sizediff,after_unique_articles,after_article_count,after_edit_count,after_talk_count,after_user_count,after_usertalk_count,event.x,first_edit_type3,label,first_edit,from_event,transitivity,betweenness,betweenness_norm,closeness,closeness_norm,degree,degree_norm,Indegree,Indegree_norm,Outdegree,Outdegree_norm,weighted_degree,weighted_Indegree,weighted_Outdegree,eigen,event
Bmf 051,21404818,5/15/14,0,3,30,112.8675641,60.23397847,30,94,136,0,41,0,1217,61.99661325,29.53858284,2485,10756,18899,131,5714,150,FIFA,3,Bmf 051,3,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,FIFA
BookOfJahMez,22961808,10/25/14,1,1,0,2217.778222,2217.778222,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1,BookOfJahMez,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,1.12E-06,ebola
BoomChakaLakaBoom,23566036,12/23/14,1,1,0,11.99880012,11.99880012,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1,BoomChakaLakaBoom,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,BLM
BoricuaBonita,25871548,7/28/15,1,1,0,-43.99560044,-43.99560044,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1,BoricuaBonita,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,BLM
BrianGroen,22058183,8/4/14,1,1,29,122.7849763,108.68746,2,272,307,24,0,11,626,97.09378204,62.90669663,36,2015,2623,416,24,129,ebola,1,BrianGroen,1,1,0.044444444,5772,0.001458272,2.61E-07,0.000519185,10,0.005025126,4,0.00201005,6,0.003015075,30,11,19,8.05E-05,ebola
BunnyTaker55,22945140,10/23/14,1,2,0,-23.99880006,-23.99880006,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,BLM,2,BunnyTaker55,2,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,BLM
Cabj94,21373646,5/10/14,0,2,30,485.6051722,496.9316254,59,1083,1112,0,0,0,1220,364.4246943,372.6442678,470,5746,6089,0,191,6,FIFA,2,Cabj94,2,1,0,0,0,2.52E-07,0.00050226,5,0.002512563,5,0.002512563,0,0,8,8,0,0,FIFA
Caealn,21564287,6/6/14,1,2,25,12.9121173,23.98135901,214,322,330,0,0,7,1042,47.38862559,47.83174222,252,422,440,0,14,1,FIFA,2,Caealn,2,1,0,7,1.77E-06,2.53E-07,0.000502765,6,0.003015075,4,0.00201005,2,0.001005025,8,4,4,0,FIFA
CalLightman1990,26729435,11/7/15,1,2,1,204.1959161,169.7457564,1,4,5,1,0,0,0,-0.99990001,-0.99990001,1,1,1,0,0,0,BLM,2,CalLightman1990,2,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,BLM
Calthaus,22394843,9/1/14,1,1,0,2004.79952,2004.79952,1,1,1,0,0,0,0,185.9907005,185.9907005,2,2,2,0,0,0,ebola,1,Calthaus,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola
Car200,21926087,7/26/14,1,1,0,122.9938503,122.9938503,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1,Car200,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola
Carcake1999,22493912,9/10/14,1,2,26,15.17776653,9.153839112,87,130,135,0,0,5,3,17.34991325,11.21046731,8,19,20,0,0,1,ebola,2,Carcake1999,2,1,0,194,4.90E-05,2.53E-07,0.000502765,7,0.003517588,5,0.002512563,2,0.001005025,8,6,2,0.000102597,ebola
Cathar66,23395611,12/5/14,1,3,29,162.356563,-44.13616302,12,22,28,0,2,4,938,152.0706538,262.8520391,166,453,665,47,46,83,BLM,3,Cathar66,3,1,0,1,2.53E-07,2.53E-07,0.000502512,2,0.001005025,1,0.000502513,1,0.000502513,4,1,3,0,BLM
Cbowman7289,22645352,9/24/14,1,3,1,151.6656556,0,0,0,15,0,15,0,436,330.9974539,2334.766523,1,1,13,6,6,0,ebola,3,Cbowman7289,3,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola
Cbursaw,23398438,12/5/14,1,2,28,35.98239301,35.98239301,13,57,57,0,0,0,834,38.95214938,41.93660103,161,978,1045,0,0,1,BLM,2,Cbursaw,2,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,2,2,0,0,BLM
CDC Latam,22210107,8/15/14,1,1,0,77.99220078,77.99220078,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1,CDC Latam,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola
Cewlt,24382660,3/10/15,1,2,15,82.11019878,82.11019878,4,9,9,0,0,0,649,-42.03294394,-65.9197124,115,162,182,1,9,6,BLM,2,Cewlt,2,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,BLM
Cfavsmba,23580749,12/24/14,1,2,0,16.99943335,16.99943335,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,BLM,2,Cfavsmba,2,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,2,2,0,0,BLM
Cfcgau,23042377,11/2/14,1,1,0,-6.99930007,-6.99930007,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1,Cfcgau,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0.000195397,ebola
Chaiso123,23399457,12/6/14,1,2,0,23.49941251,2.999900003,3,3,4,0,0,1,0,0,0,0,0,0,0,0,0,ebola,2,Chaiso123,2,1,0,0,0,2.53E-07,0.000502765,2,0.001005025,1,0.000502513,1,0.000502513,2,1,1,0,ebola
ChamithN,21929136,7/26/14,0,2,30,157.5127397,72.66418054,89,137,195,10,20,20,1150,303.2767349,66.11355346,3317,12690,20272,1232,334,5067,BLM,2,ChamithN,2,1,0,606,0.000153103,2.53E-07,0.000504032,10,0.005025126,4,0.00201005,6,0.003015075,15,6,9,1.76E-05,BLM
Chibike94,21970264,7/31/14,1,1,0,-2.999850007,-2.999850007,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1,Chibike94,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola
Chief hiccup horrendous haddock,21480626,5/25/14,1,2,28,-76.66630159,-105.4204978,6,19,21,0,0,2,12,56.71347552,56.71347552,4,7,7,0,0,0,FIFA,2,Chief hiccup horrendous haddock,2,1,0,87,2.20E-05,2.58E-07,0.000513841,4,0.00201005,2,0.001005025,2,0.001005025,6,4,2,6.25E-05,FIFA
Chiffchaff2015,25571777,6/22/15,1,1,0,1.999971429,1.999971429,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1,Chiffchaff2015,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,2,2,0,0,BLM
